Title,Year,Authors,GatesAuthors
Competition and Selection Among Conventions.,2017,"Rahmtin Rotabi, Cristian Danescu-Niculescu-Mizil, Jon M. Kleinberg, ","Cristian Danescu-Niculescu-Mizil, Jon Kleinberg"
Configuring Distributed Computations Using Response Surfaces.,2015,"Adem Efe Gencer, David Bindel, Emin G神n Sirer, Robbert van Renesse, ","David Bindel, Emin Gun Sirer, Robbert van Renesse"
Constructive Decision Theory,2009,"Lawrence E. Blume, David A. Easley, Joseph Y. Halpern, ","David Easley, Joseph Halpern"
Constructive Decision Theory.,2013,"Lawrence E. Blume, David A. Easley, Joseph Y. Halpern, ","David Easley, Joseph Halpern"
Controlled Transactional Consistency for Web Caching.,2014,"Ittay Eyal, Ken Birman, Robbert van Renesse, ","Ken Birman, Robbert van Renesse"
Correctness of a gossip based membership protocol.,2005,"Andr姓 Allavena, Alan J. Demers, John E. Hopcroft, ","Alan Demers, John Hopcroft"
Crowdsourcing Law and Policy - A Design-Thinking Approach to Crowd-Civic Systems.,2017,"Brian James McInnis, Alissa Centivany, Juho Kim, Marta Poblet, Karen Levy, Gilly Leshed, ","Gilly Leshed, Karen Levy"
Cryptographic support for fault-tolerant distributed computing.,1996,"Yaron Minsky, Robbert van Renesse, Fred B. Schneider, Scott D. Stoller, ","Fred Schneider, Robbert van Renesse"
"Crystallize - An Immersive, Collaborative Game for Second Language Learning.",2016,"Gabriel Culbertson, Erik L. Andersen, Walker M. White, Daniel Zhang, Malte F. Jung, ","Erik  Andersen, Malte Jung, Walker White"
Culturally Embedded Computing.,2004,"Phoebe Sengers, Joseph Kaye, Kirsten Boehner, Jeremiah Fairbank, Geri Gay, Yevgeniy Eugene Medynskiy, Susan Wyche, ","Geri Gay, Phoebe Sengers"
Cutting into collaboration - understanding coordination in distributed and interdisciplinary medical research.,2008,"Saeko Nomura, Jeremy P. Birnholtz, Oya Rieger, Gilly Leshed, Deborah Trumbull, Geri Gay, ","Geri Gay, Gilly Leshed"
Database research in computer games.,2009,"Alan J. Demers, Johannes Gehrke, Christoph Koch 0001, Ben Sowell, Walker M. White, ","Alan Demers, Walker White"
Database research opportunities in computer games.,2007,"Walker M. White, Christoph Koch 0001, Nitin Gupta 0003, Johannes Gehrke, Alan J. Demers, ","Alan Demers, Walker White"
Decentralized Schemes for Size Estimation in Large and Dynamic Groups.,2005,"Dionysios Kostoulas, Dimitrios Psaltoulis, Indranil Gupta, Ken Birman, Alan J. Demers, ","Alan Demers, Ken Birman"
Deep Feature Interpolation for Image Content Changes.,2016,"Paul Upchurch, Jacob R. Gardner, Kavita Bala, Robert Pless, Noah Snavely, Kilian Q. Weinberger, ","Kavita Bala, Kilian Weinberger"
Deep Manifold Traversal - Changing Labels with Convolutional Features.,2015,"Jacob R. Gardner, Matt J. Kusner, Yixuan Li, Paul Upchurch, Kilian Q. Weinberger, John E. Hopcroft, ","John Hopcroft, Kilian Weinberger"
